iter	Passed	Remaining
0	143	143074
1	144	71962
2	145	48234
3	145	36296
4	146	29124
5	146	24344
6	147	20922
7	148	18360
8	148	16373
9	149	14776
10	149	13471
11	150	12388
12	151	11473
13	151	10677
14	152	9987
15	152	9383
16	153	8860
17	153	8387
18	154	7963
19	154	7584
20	155	7238
21	155	6923
22	156	6637
23	156	6373
24	157	6132
25	157	5908
26	158	5700
27	158	5508
28	159	5328
29	159	5161
30	160	5006
31	160	4869
32	161	4731
33	161	4601
34	162	4478
35	162	4362
36	163	4253
37	163	4149
38	164	4051
39	164	3957
40	165	3867
41	165	3783
42	166	3703
43	166	3627
44	167	3553
45	167	3483
46	168	3416
47	168	3351
48	169	3288
49	169	3228
50	170	3171
51	170	3116
52	171	3063
53	171	3011
54	172	2962
55	172	2914
56	173	2868
57	173	2824
58	174	2781
59	174	2739
60	175	2698
61	175	2662
62	176	2625
63	177	2588
64	177	2553
65	178	2519
66	178	2486
67	178	2450
68	179	2419
69	179	2388
70	180	2358
71	180	2330
72	181	2301
73	181	2274
74	182	2248
75	182	2222
76	183	2198
77	183	2173
78	184	2151
79	185	2128
80	185	2105
81	186	2083
82	186	2061
83	187	2040
84	187	2017
85	188	1998
86	188	1976
87	188	1957
88	189	1938
89	189	1919
90	190	1901
91	190	1883
92	191	1866
93	191	1848
94	192	1832
95	192	1815
96	193	1799
97	193	1783
98	194	1767
99	194	1753
100	195	1738
101	195	1722
102	196	1708
103	196	1693
104	197	1680
105	197	1667
106	198	1654
107	198	1641
108	199	1629
109	199	1617
110	200	1605
111	201	1593
112	201	1581
113	202	1570
114	202	1558
115	202	1546
116	203	1535
117	203	1524
118	204	1513
119	204	1502
120	205	1491
121	205	1481
122	206	1469
123	206	1459
124	207	1449
125	207	1440
126	208	1430
127	208	1419
128	208	1410
129	209	1401
130	209	1392
131	210	1383
132	210	1374
133	211	1365
134	211	1357
135	212	1348
136	212	1340
137	213	1331
138	213	1323
139	214	1315
140	214	1307
141	215	1299
142	215	1292
143	216	1284
144	216	1277
145	217	1269
146	217	1262
147	218	1255
148	218	1248
149	219	1241
150	219	1234
151	220	1228
152	220	1221
153	221	1214
154	221	1208
155	222	1201
156	222	1195
157	223	1189
158	223	1183
159	224	1177
160	224	1171
161	225	1165
162	225	1159
163	226	1153
164	226	1147
165	227	1142
166	227	1136
167	228	1131
168	229	1126
169	229	1121
170	230	1116
171	231	1112
172	231	1107
173	232	1103
174	233	1098
175	233	1093
176	234	1089
177	234	1084
178	235	1079
179	235	1075
180	236	1069
181	236	1064
182	237	1059
183	237	1055
184	238	1051
185	239	1046
186	239	1042
187	240	1037
188	240	1033
189	241	1029
190	241	1024
191	242	1020
192	243	1016
193	243	1012
194	244	1008
195	244	1004
196	245	1001
197	246	996
198	246	993
199	247	989
200	247	985
201	248	981
202	248	977
203	249	973
204	250	969
205	250	965
206	251	961
207	251	957
208	252	953
209	252	949
210	253	946
211	253	942
212	254	939
213	254	935
214	255	931
215	255	928
216	256	924
217	256	920
218	257	917
219	257	913
220	258	910
221	258	906
222	259	902
223	259	899
224	260	895
225	260	892
226	261	889
227	261	885
228	262	882
229	262	879
230	263	875
231	263	872
232	264	869
233	264	866
234	265	863
235	265	859
236	266	856
237	266	853
238	267	850
239	267	847
240	268	844
241	268	841
242	269	838
243	269	835
244	270	832
245	270	829
246	271	826
247	271	823
248	272	820
249	272	817
250	273	814
251	273	811
252	273	808
253	274	806
254	274	803
255	275	800
256	275	797
257	276	795
258	276	792
259	277	789
260	277	787
261	278	784
262	278	781
263	279	779
264	279	776
265	280	773
266	280	771
267	281	768
268	281	766
269	282	763
270	282	761
271	283	758
272	283	756
273	284	753
274	284	751
275	285	748
276	285	746
277	286	743
278	286	741
279	287	739
280	287	736
281	288	734
282	289	732
283	289	729
284	290	727
285	290	725
286	291	722
287	291	720
288	291	718
289	292	716
290	292	713
291	293	711
292	293	709
293	294	707
294	295	705
295	295	703
296	296	700
297	296	698
298	297	696
299	297	694
300	298	692
301	298	690
302	299	688
303	299	686
304	300	684
305	300	682
306	301	680
307	302	678
308	302	676
309	302	674
310	303	672
311	304	670
312	304	668
313	305	666
314	305	664
315	306	662
316	306	660
317	307	658
318	307	656
319	308	654
320	308	653
321	309	651
322	309	649
323	310	647
324	310	645
325	311	643
326	311	641
327	312	639
328	312	637
329	313	636
330	313	634
331	314	632
332	315	631
333	315	629
334	316	627
335	316	626
336	317	624
337	317	622
338	318	620
339	318	618
340	319	617
341	319	615
342	320	613
343	320	611
344	321	610
345	321	608
346	322	606
347	322	604
348	323	603
349	323	601
350	324	599
351	324	597
352	325	596
353	325	594
354	326	593
355	326	591
356	327	589
357	327	588
358	328	586
359	328	584
360	329	583
361	329	581
362	330	579
363	330	578
364	331	576
365	332	575
366	332	573
367	333	571
368	333	570
369	334	568
370	334	567
371	335	565
372	335	564
373	336	562
374	336	561
375	337	559
376	337	557
377	338	556
378	338	555
379	339	553
380	339	552
381	340	550
382	340	548
383	341	547
384	341	546
385	342	544
386	342	543
387	343	541
388	343	540
389	344	538
390	345	537
391	345	536
392	346	534
393	346	533
394	347	532
395	347	530
396	348	529
397	349	528
398	349	526
399	350	525
400	350	523
401	351	522
402	351	521
403	352	519
404	352	518
405	353	517
406	354	515
407	354	514
408	355	513
409	355	511
410	356	510
411	356	508
412	357	507
413	357	506
414	358	504
415	358	503
416	359	502
417	359	500
418	360	499
419	360	498
420	361	496
421	361	495
422	362	494
423	362	492
424	363	491
425	363	490
426	364	489
427	364	487
428	365	486
429	366	485
430	366	483
431	367	482
432	367	481
433	368	480
434	368	478
435	369	477
436	369	476
437	370	475
438	370	473
439	371	472
440	371	471
441	372	470
442	372	468
443	373	467
444	373	466
445	374	465
446	374	463
447	375	462
448	375	461
449	376	460
450	376	458
451	377	457
452	377	456
453	378	455
454	378	453
455	379	452
456	379	451
457	380	450
458	380	449
459	381	447
460	381	446
461	382	445
462	383	444
463	383	443
464	384	441
465	384	440
466	385	439
467	385	438
468	386	437
469	386	435
470	387	434
471	387	433
472	387	432
473	388	431
474	388	429
475	389	428
476	390	427
477	390	426
478	390	425
479	391	424
480	391	422
481	392	421
482	392	420
483	393	419
484	393	418
485	394	417
486	395	416
487	395	415
488	396	413
489	396	412
490	397	411
491	397	410
492	398	409
493	398	408
494	399	407
495	399	406
496	400	405
497	400	403
498	401	402
499	401	401
500	402	400
501	402	399
502	403	398
503	403	397
504	404	396
505	404	395
506	405	394
507	405	393
508	406	392
509	406	390
510	407	389
511	407	388
512	408	387
513	409	386
514	409	385
515	410	384
516	410	383
517	411	382
518	411	381
519	412	380
520	412	379
521	413	378
522	413	377
523	414	376
524	414	375
525	415	374
526	416	373
527	416	372
528	417	371
529	417	370
530	418	369
531	419	368
532	419	367
533	420	366
534	420	365
535	421	364
536	421	363
537	422	362
538	423	361
539	423	360
540	424	359
541	424	359
542	425	358
543	426	357
544	426	356
545	427	355
546	427	354
547	428	353
548	429	352
549	429	351
550	430	350
551	430	349
552	431	348
553	431	347
554	432	346
555	433	345
556	433	344
557	434	343
558	434	343
559	435	342
560	435	341
561	436	340
562	437	339
563	437	338
564	438	337
565	438	336
566	439	335
567	439	334
568	440	333
569	440	332
570	441	331
571	441	330
572	442	329
573	442	328
574	443	327
575	444	326
576	444	326
577	445	325
578	446	324
579	446	323
580	447	322
581	447	321
582	448	320
583	449	319
584	449	319
585	450	318
586	451	317
587	451	316
588	452	315
589	453	314
590	453	313
591	454	313
592	454	312
593	455	311
594	455	310
595	456	309
596	456	308
597	457	307
598	458	306
599	458	305
600	459	304
601	459	303
602	460	303
603	460	302
604	461	301
605	461	300
606	462	299
607	462	298
608	463	297
609	464	296
610	464	295
611	465	294
612	465	294
613	466	293
614	466	292
615	467	291
616	468	290
617	468	289
618	469	288
619	469	287
620	470	287
621	470	286
622	471	285
623	472	284
624	472	283
625	473	282
626	473	281
627	474	281
628	474	280
629	475	279
630	476	278
631	476	277
632	477	276
633	477	275
634	478	275
635	479	274
636	479	273
637	480	272
638	480	271
639	481	270
640	481	269
641	482	269
642	482	268
643	483	267
644	484	266
645	484	265
646	485	264
647	485	263
648	486	263
649	486	262
650	487	261
651	488	260
652	488	259
653	489	258
654	489	257
655	490	257
656	490	256
657	491	255
658	492	254
659	492	253
660	493	253
661	493	252
662	494	251
663	495	250
664	495	249
665	496	248
666	496	248
667	497	247
668	498	246
669	498	245
670	499	244
671	499	243
672	500	243
673	501	242
674	501	241
675	502	240
676	502	239
677	503	239
678	504	238
679	504	237
680	505	236
681	505	235
682	506	235
683	507	234
684	507	233
685	508	232
686	508	231
687	509	230
688	509	230
689	510	229
690	510	228
691	511	227
692	512	226
693	512	226
694	513	225
695	513	224
696	514	223
697	514	222
698	515	221
699	515	221
700	516	220
701	517	219
702	517	218
703	518	217
704	518	217
705	519	216
706	519	215
707	520	214
708	520	213
709	521	212
710	521	212
711	522	211
712	522	210
713	523	209
714	523	208
715	524	207
716	524	207
717	525	206
718	525	205
719	526	204
720	526	203
721	527	203
722	527	202
723	528	201
724	528	200
725	529	199
726	529	199
727	530	198
728	530	197
729	531	196
730	531	195
731	532	194
732	532	194
733	533	193
734	533	192
735	534	191
736	534	190
737	535	190
738	535	189
739	536	188
740	536	187
741	537	186
742	537	186
743	538	185
744	538	184
745	539	183
746	539	182
747	540	182
748	541	181
749	541	180
750	542	179
751	542	178
752	543	178
753	543	177
754	544	176
755	544	175
756	545	174
757	545	174
758	546	173
759	546	172
760	547	171
761	547	171
762	548	170
763	548	169
764	548	168
765	549	167
766	550	167
767	550	166
768	551	165
769	551	164
770	552	163
771	552	163
772	553	162
773	553	161
774	554	160
775	554	160
776	555	159
777	555	158
778	556	157
779	556	157
780	557	156
781	558	155
782	558	154
783	558	154
784	559	153
785	560	152
786	560	151
787	561	150
788	561	150
789	562	149
790	562	148
791	563	147
792	563	147
793	564	146
794	564	145
795	565	144
796	565	144
797	566	143
798	566	142
799	567	141
800	567	141
801	568	140
802	568	139
803	569	138
804	570	138
805	570	137
806	571	136
807	571	135
808	572	135
809	573	134
810	573	133
811	574	132
812	574	132
813	575	131
814	575	130
815	576	129
816	576	129
817	577	128
818	577	127
819	578	126
820	578	126
821	579	125
822	579	124
823	580	123
824	580	123
825	581	122
826	581	121
827	582	120
828	583	120
829	583	119
830	584	118
831	585	118
832	586	117
833	586	116
834	587	116
835	588	115
836	588	114
837	589	113
838	589	113
839	590	112
840	591	111
841	591	111
842	592	110
843	593	109
844	593	108
845	594	108
846	595	107
847	595	106
848	596	106
849	596	105
850	597	104
851	598	103
852	598	103
853	599	102
854	599	101
855	600	101
856	600	100
857	601	99
858	602	98
859	602	98
860	603	97
861	603	96
862	604	95
863	604	95
864	605	94
865	605	93
866	606	93
867	606	92
868	607	91
869	608	90
870	608	90
871	609	89
872	609	88
873	610	87
874	610	87
875	611	86
876	611	85
877	612	85
878	612	84
879	613	83
880	614	82
881	614	82
882	615	81
883	615	80
884	616	80
885	616	79
886	617	78
887	617	77
888	618	77
889	619	76
890	619	75
891	620	75
892	620	74
893	621	73
894	621	72
895	622	72
896	622	71
897	623	70
898	623	70
899	624	69
900	624	68
901	625	67
902	625	67
903	626	66
904	627	65
905	627	65
906	628	64
907	628	63
908	629	62
909	629	62
910	630	61
911	630	60
912	631	60
913	631	59
914	632	58
915	632	58
916	633	57
917	633	56
918	634	55
919	634	55
920	635	54
921	636	53
922	636	53
923	637	52
924	637	51
925	638	50
926	638	50
927	639	49
928	639	48
929	640	48
930	640	47
931	641	46
932	641	46
933	642	45
934	642	44
935	643	43
936	644	43
937	644	42
938	645	41
939	645	41
940	646	40
941	646	39
942	647	39
943	647	38
944	648	37
945	648	37
946	649	36
947	649	35
948	650	34
949	650	34
950	651	33
951	651	32
952	652	32
953	652	31
954	653	30
955	653	30
956	654	29
957	654	28
958	655	28
959	655	27
960	656	26
961	656	25
962	657	25
963	658	24
964	658	23
965	659	23
966	659	22
967	660	21
968	660	21
969	661	20
970	661	19
971	662	19
972	662	18
973	663	17
974	663	17
975	664	16
976	664	15
977	665	14
978	665	14
979	666	13
980	666	12
981	667	12
982	668	11
983	668	10
984	669	10
985	669	9
986	670	8
987	670	8
988	671	7
989	671	6
990	672	6
991	672	5
992	673	4
993	673	4
994	674	3
995	674	2
996	675	2
997	675	1
998	676	0
999	676	0
